humanSourceField	humanLabel	rhesusTargetField	rhesusLabel	lineageRole
Immune_All_High	B cells	RIRA_Immune_v2.cellclass	Bcell	B
Immune_All_High	B-cell lineage	RIRA_Immune_v2.cellclass	Bcell	B
Immune_All_High	Cycling cells	RIRA_Immune_v2.cellclass	T_NK	T
Immune_All_High	DC	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	DC precursor	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Double-negative thymocytes	RIRA_Immune_v2.cellclass	T_NK	T
Immune_All_High	Double-positive thymocytes	RIRA_Immune_v2.cellclass	T_NK	T
Immune_All_High	ETP	RIRA_Immune_v2.cellclass	T_NK	T
Immune_All_High	Early MK	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Endothelial cells	RIRA_Immune_v2.cellclass	Stromal	Stromal
Immune_All_High	Epithelial cells	RIRA_Immune_v2.cellclass	Epithelial	Epithelial
Immune_All_High	Erythrocytes	RIRA_Immune_v2.cellclass	Erythrocyte	Erythrocyte
Immune_All_High	Erythroid	RIRA_Immune_v2.cellclass	Erythrocyte	Erythrocyte
Immune_All_High	Fibroblasts	RIRA_Immune_v2.cellclass	Stromal	Stromal
Immune_All_High	Granulocytes	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	HSC/MPP	RIRA_Immune_v2.cellclass	Non-Immune	HSC
Immune_All_High	ILC	RIRA_Immune_v2.cellclass	T_NK	NK_ILC
Immune_All_High	ILC precursor	RIRA_Immune_v2.cellclass	T_NK	NK_ILC
Immune_All_High	MNP	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Macrophages	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Mast cells	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Megakaryocyte precursor	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Megakaryocytes/platelets	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Mono-mac	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Monocyte precursor	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Monocytes	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Myelocytes	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	Plasma cells	RIRA_Immune_v2.cellclass	Bcell	B
Immune_All_High	Promyelocytes	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	T cells	RIRA_Immune_v2.cellclass	T_NK	T
Immune_All_High	pDC	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_High	pDC precursor	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_Low	Age-associated B cells	RIRA_Immune_v2.cellclass	Bcell	B
Immune_All_Low	Alveolar macrophages	RIRA_Immune_v2.cellclass	Myeloid	Myeloid_APC
Immune_All_Low	Alveolar macrophages	RIRA_Myeloid_v3.coarseclass	Alv. mac.	Myeloid_APC
Immune_All_Low	B cells	RIRA_Immune_v2.cellclass	Bcell	B
Immune_All_Low	CD16+ NK cells	RIRA_Immune_v2.cellclass	T_NK	NK_ILC
Immune_All_Low	CD16+ NK cells	RIRA_TNK_v2.cellclass	NK Cells	NK_ILC
Immune_All_Low	CD16- NK cells	RIRA_Immune_v2.cellclass	T_NK	NK_ILC
