GroupingVariable	TargetField	SourceField	MatchValue	QuantificationType	QuantificationSourceField	QuantificationScoreType	ScopeField	ScopeMatchValue	EffectorDifferentiationScoreField	EffectorDifferentiationCutpointLow	EffectorDifferentiationCutpointHigh	SubsetPhenotypeOutputFieldName
cDNA_ID	Immune__Bcell	RIRA_Immune_v2.cellclass	Bcell	sum								
cDNA_ID	Immune__Epithelial	RIRA_Immune_v2.cellclass	Epithelial	sum								
cDNA_ID	Immune__Erythrocyte	RIRA_Immune_v2.cellclass	Erythrocyte	sum								
cDNA_ID	Immune__Myeloid	RIRA_Immune_v2.cellclass	Myeloid	sum								
cDNA_ID	Immune__Stromal	RIRA_Immune_v2.cellclass	Stromal	sum								
cDNA_ID	Immune__T_NK	RIRA_Immune_v2.cellclass	T_NK	sum								
cDNA_ID	Immune__Non_Immune	RIRA_Immune_v2.cellclass	Non-Immune	sum								
cDNA_ID	Immune__Unknown	RIRA_Immune_v2.cellclass	Unknown	sum								
cDNA_ID	TNK__CD4plus_T_Cells	RIRA_TNK_v2.cellclass	CD4+ T Cells	sum			RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells	RIRA_TNK_v2.cellclass	CD8+ T Cells	sum			RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	sum			RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells	RIRA_TNK_v2.cellclass	NK Cells	sum			RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Other	RIRA_TNK_v2.cellclass	Other	sum			RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unassigned	RIRA_TNK_v2.cellclass	Unassigned	sum			RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Ambiguous	RIRA_TNK_v2.cellclass	Ambiguous	sum			RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unknown	RIRA_TNK_v2.cellclass	Unknown	sum			RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__CytotoxicityScore	RIRA_TNK_v2.cellclass	CD4+ T Cells	score	Cytotoxicity_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__CytotoxicityScore	RIRA_TNK_v2.cellclass	CD8+ T Cells	score	Cytotoxicity_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__CytotoxicityScore	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	score	Cytotoxicity_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__CytotoxicityScore	RIRA_TNK_v2.cellclass	NK Cells	score	Cytotoxicity_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Other__CytotoxicityScore	RIRA_TNK_v2.cellclass	Other	score	Cytotoxicity_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unassigned__CytotoxicityScore	RIRA_TNK_v2.cellclass	Unassigned	score	Cytotoxicity_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Ambiguous__CytotoxicityScore	RIRA_TNK_v2.cellclass	Ambiguous	score	Cytotoxicity_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unknown__CytotoxicityScore	RIRA_TNK_v2.cellclass	Unknown	score	Cytotoxicity_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__InterferonResponseScore	RIRA_TNK_v2.cellclass	CD4+ T Cells	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__InterferonResponseScore	RIRA_TNK_v2.cellclass	CD8+ T Cells	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__InterferonResponseScore	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__InterferonResponseScore	RIRA_TNK_v2.cellclass	NK Cells	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Other__InterferonResponseScore	RIRA_TNK_v2.cellclass	Other	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unassigned__InterferonResponseScore	RIRA_TNK_v2.cellclass	Unassigned	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Ambiguous__InterferonResponseScore	RIRA_TNK_v2.cellclass	Ambiguous	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unknown__InterferonResponseScore	RIRA_TNK_v2.cellclass	Unknown	score	Interferon_Response_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__CytokineScore	RIRA_TNK_v2.cellclass	CD4+ T Cells	score	TandNK_Activation2_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__CytokineScore	RIRA_TNK_v2.cellclass	CD8+ T Cells	score	TandNK_Activation2_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__CytokineScore	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	score	TandNK_Activation2_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__CytokineScore	RIRA_TNK_v2.cellclass	NK Cells	score	TandNK_Activation2_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Other__CytokineScore	RIRA_TNK_v2.cellclass	Other	score	TandNK_Activation2_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unassigned__CytokineScore	RIRA_TNK_v2.cellclass	Unassigned	score	TandNK_Activation2_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Ambiguous__CytokineScore	RIRA_TNK_v2.cellclass	Ambiguous	score	TandNK_Activation2_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unknown__CytokineScore	RIRA_TNK_v2.cellclass	Unknown	score	TandNK_Activation2_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__MHCIIScore	RIRA_TNK_v2.cellclass	CD4+ T Cells	score	MHCII_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__MHCIIScore	RIRA_TNK_v2.cellclass	CD8+ T Cells	score	MHCII_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__MHCIIScore	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	score	MHCII_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__MHCIIScore	RIRA_TNK_v2.cellclass	NK Cells	score	MHCII_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Other__MHCIIScore	RIRA_TNK_v2.cellclass	Other	score	MHCII_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unassigned__MHCIIScore	RIRA_TNK_v2.cellclass	Unassigned	score	MHCII_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Ambiguous__MHCIIScore	RIRA_TNK_v2.cellclass	Ambiguous	score	MHCII_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unknown__MHCIIScore	RIRA_TNK_v2.cellclass	Unknown	score	MHCII_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__ProliferationScore	RIRA_TNK_v2.cellclass	CD4+ T Cells	score	Proliferation_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__ProliferationScore	RIRA_TNK_v2.cellclass	CD8+ T Cells	score	Proliferation_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__ProliferationScore	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	score	Proliferation_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__ProliferationScore	RIRA_TNK_v2.cellclass	NK Cells	score	Proliferation_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Other__ProliferationScore	RIRA_TNK_v2.cellclass	Other	score	Proliferation_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unassigned__ProliferationScore	RIRA_TNK_v2.cellclass	Unassigned	score	Proliferation_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Ambiguous__ProliferationScore	RIRA_TNK_v2.cellclass	Ambiguous	score	Proliferation_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unknown__ProliferationScore	RIRA_TNK_v2.cellclass	Unknown	score	Proliferation_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__PerforinScore	RIRA_TNK_v2.cellclass	CD4+ T Cells	score	Perforin_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__PerforinScore	RIRA_TNK_v2.cellclass	CD8+ T Cells	score	Perforin_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__PerforinScore	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	score	Perforin_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__PerforinScore	RIRA_TNK_v2.cellclass	NK Cells	score	Perforin_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Other__PerforinScore	RIRA_TNK_v2.cellclass	Other	score	Perforin_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unassigned__PerforinScore	RIRA_TNK_v2.cellclass	Unassigned	score	Perforin_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Ambiguous__PerforinScore	RIRA_TNK_v2.cellclass	Ambiguous	score	Perforin_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Unknown__PerforinScore	RIRA_TNK_v2.cellclass	Unknown	score	Perforin_UCell	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__Naive	RIRA_TNK_v2.cellclass	CD4+ T Cells	sum			RIRA_Immune_v2.cellclass	T_NK	Tcell_EffectorDifferentiation	2	6	Naive
cDNA_ID	TNK__CD4plus_T_Cells__MemoryLike	RIRA_TNK_v2.cellclass	CD4+ T Cells	sum			RIRA_Immune_v2.cellclass	T_NK	Tcell_EffectorDifferentiation	2	6	MemoryLike
cDNA_ID	TNK__CD4plus_T_Cells__Effector	RIRA_TNK_v2.cellclass	CD4+ T Cells	sum			RIRA_Immune_v2.cellclass	T_NK	Tcell_EffectorDifferentiation	2	6	Effector
cDNA_ID	TNK__CD8plus_T_Cells__Naive	RIRA_TNK_v2.cellclass	CD8+ T Cells	sum			RIRA_Immune_v2.cellclass	T_NK	Tcell_EffectorDifferentiation	2	6	Naive
cDNA_ID	TNK__CD8plus_T_Cells__MemoryLike	RIRA_TNK_v2.cellclass	CD8+ T Cells	sum			RIRA_Immune_v2.cellclass	T_NK	Tcell_EffectorDifferentiation	2	6	MemoryLike
cDNA_ID	TNK__CD8plus_T_Cells__Effector	RIRA_TNK_v2.cellclass	CD8+ T Cells	sum			RIRA_Immune_v2.cellclass	T_NK	Tcell_EffectorDifferentiation	2	6	Effector
cDNA_ID	TNK__CD4plus_T_Cells__EDSScore	RIRA_TNK_v2.cellclass	CD4+ T Cells	score	Tcell_EffectorDifferentiation	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__EDSScore	RIRA_TNK_v2.cellclass	CD8+ T Cells	score	Tcell_EffectorDifferentiation	quantiles	RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__Activated	Is_TCR_Stimulated	TRUE	sum			RIRA_TNK_v2.cellclass	CD4+ T Cells				
cDNA_ID	TNK__CD8plus_T_Cells__Activated	Is_TCR_Stimulated	TRUE	sum			RIRA_TNK_v2.cellclass	CD8+ T Cells				
cDNA_ID	TNK__CD4plus_T_Cells__PctPositive__PDCD1	RIRA_TNK_v2.cellclass	CD4+ T Cells	pct_positive	PDCD1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__PctPositive__PDCD1	RIRA_TNK_v2.cellclass	CD8+ T Cells	pct_positive	PDCD1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__PctPositive__PDCD1	RIRA_TNK_v2.cellclass	NK Cells	pct_positive	PDCD1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__PctPositive__PDCD1	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	pct_positive	PDCD1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__PctPositive__KLRK1	RIRA_TNK_v2.cellclass	CD4+ T Cells	pct_positive	KLRK1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD8plus_T_Cells__PctPositive__KLRK1	RIRA_TNK_v2.cellclass	CD8+ T Cells	pct_positive	KLRK1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__NK_Cells__PctPositive__KLRK1	RIRA_TNK_v2.cellclass	NK Cells	pct_positive	KLRK1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__Gamma_Delta_Cells__PctPositive__KLRK1	RIRA_TNK_v2.cellclass	Gamma/Delta Cells	pct_positive	KLRK1		RIRA_Immune_v2.cellclass	T_NK				
cDNA_ID	TNK__CD4plus_T_Cells__PctPositive__KLRB1	RIRA_TNK_v2.cellclass	CD4+ T Cells	pct_positive	KLRB1		RIRA_Immune_v2.cellclass	T_NK				
